Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
M. Bolduc,"CM,AM,W",,Richmond Kickers,Richmond Kickers,27.0,United States,United States,right,133750.0,6.73,6.799095753493965,0.0690957534939649,138000,,165000,,2017-05-17,2022-11-30,2021-12-07,,Matt Bolduc,United States,27,Richmond Kickers,midfield - Right Midfield,https://www.transfermarkt.us/matt-bolduc/profil/spieler/430348
A. Morrell,"AM,W",,Greenville Triumph,Greenville Triumph,27.0,United States,United States,right,133750.0,6.81,6.805465279492944,-0.00453472050705539,,,,,,,,,,,,,,
S. Miscic,"AM,W",,Philadelphia Union II,North Carolina FC,18.0,United States,United States,,133750.0,6.76,6.8134930522572,0.05349305225719991,138000,,138000,,2022-03-28,2022-12-31,,PROSPORT Management,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
K. Thompson,"W,CF",,Toronto II,Toronto II,18.0,Canada,Canada,,133750.0,6.67,6.79081731004667,0.12081731004666985,138000,,138000,,2022-02-25,2024-12-31,,,Kosi Thompson,Canada,18 (19),Toronto FC II,midfield - Right Midfield,https://www.transfermarkt.us/kosi-thompson/profil/spieler/893148
J. Donnelly,"AM,W,CF",,Greenville Triumph,Greenville Triumph,24.0,England,England,,133750.0,6.75,6.686328446857354,-0.06367155314264572,138000,,138000,,2021-12-01,,,HNG Talent ltd,Joshua Donnelly,England,24 (25),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/joshua-donnelly/profil/spieler/635967
E. Bryant,"CM,W",,San Antonio,Richmond Kickers,20.0,United States,United States,right,133750.0,6.62,6.676153768944503,0.05615376894450286,,,,,,,,,,,,,,
J. Coan,"AM,W",,North Carolina FC,North Carolina FC,23.0,United States,United States,,133750.0,6.74,6.88364394169781,0.14364394169780947,138000,,138000,,2022-02-17,2022-11-30,,Topnotch Management,Josh Coan,United States,23 (24),North Carolina FC,attack - Left Winger,https://www.transfermarkt.us/josh-coan/profil/spieler/763523
O. Anderson,"W,CF",,Richmond Kickers,Richmond Kickers,26.0,St. Vincent and the Grenadines,St. Vincent and the Grenadines,right,133750.0,6.69,6.873438288474045,0.18343828847404442,138000,,193000,,2022-01-18,2022-11-30,,"Jordie Isen, Football Agent",Oalex Anderson,St. Vincent & Grenadinen,25 (26),Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/oalex-anderson/profil/spieler/313448
O. Anderson,"W,CF",,Richmond Kickers,Richmond Kickers,26.0,St. Vincent and the Grenadines,St. Vincent and the Grenadines,right,133750.0,6.69,6.873438288474045,0.18343828847404442,138000,,193000,,2022-01-18,2022-11-30,,"Jordie Isen, Football Agent",Oalex Anderson,St. Vincent & Grenadinen,26,Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/oalex-anderson/profil/spieler/313448
O. Anderson,"W,CF",,Richmond Kickers,Richmond Kickers,26.0,St. Vincent and the Grenadines,St. Vincent and the Grenadines,right,133750.0,6.69,6.873438288474045,0.18343828847404442,138000,,193000,,2022-01-18,2022-11-30,,"Jordie Isen, Football Agent",Oalex Anderson,St. Vincent & Grenadinen,26,Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/oalex-anderson/profil/spieler/313448
O. Anderson,"W,CF",,Richmond Kickers,Richmond Kickers,26.0,St. Vincent and the Grenadines,St. Vincent and the Grenadines,right,133750.0,6.69,6.873438288474045,0.18343828847404442,138000,,193000,,2022-01-18,2022-11-30,,"Jordie Isen, Football Agent",Oalex Anderson,St. Vincent & Grenadinen,26,Richmond Kickers,attack - Centre-Forward,https://www.transfermarkt.us/oalex-anderson/profil/spieler/313448
C. Smith,"FB,W",2023-12-31,North Texas,North Texas,17.0,United States,United States,,133750.0,6.75,6.714697186598126,-0.03530281340187358,,,,,,,,,,,,,,
A. Carlini,"W,CF",2022-11-30,Toronto II,Toronto II,21.0,Canada,Canada,,133750.0,6.79,6.820972308488085,0.030972308488085076,138000,,138000,,2020-07-02,2022-11-30,2022-03-18,NOVERA Sports,Antonio Carlini,Canada-Italy,20 (21),Toronto FC II,midfield - Central Midfield,https://www.transfermarkt.us/antonio-carlini/profil/spieler/694523
