Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.850427787690037,-0.18957221230996346,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
K. Rodríguez,"AM,W",,Tucson,Tucson,25.0,United States,United States,right,107000.0,6.81,6.848208864389461,0.03820886438946136,110000,,110000,,2021-02-10,2022-11-30,2021-12-02,,Kevin Rodríguez,United States,25,FC Tucson,midfield - Right Midfield,https://www.transfermarkt.us/kevin-rodriguez/profil/spieler/657902
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.955697950214283,0.14569795021428344,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic-United States,17 (18),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.955697950214283,0.14569795021428344,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.955697950214283,0.14569795021428344,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,6.81,6.955697950214283,0.14569795021428344,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
S. Alves,"CM,AM,CF",2021-11-30,Richmond Kickers,Richmond Kickers,25.0,Brazil,"Brazil, United States",,80250.0,6.77,6.703588739589857,-0.06641126041014278,,,,,,,,,,,,,,
D. Steedman,"CM,AM",,,North Carolina FC,21.0,United States,United States,,80250.0,6.6,6.899531565029054,0.29953156502905465,,,,,,,,,,,,,,
D. Dubose,"FB,AM,W",,Richmond Kickers,Richmond Kickers,29.0,United States,United States,right,80250.0,6.6,6.650958153666951,0.05095815366695167,,,,,,,,,,,,,,
A. Jackson,"AM,CF",2022-12-31,Minnesota United,North Carolina FC,20.0,United States,United States,,80250.0,6.83,6.783125316953574,-0.04687468304642639,83000,,83000,,2022-03-23,2022-11-30,,,Aziel Jackson,United States,20,North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/aziel-jackson/profil/spieler/889193
