Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
L. Mastrantonio,CB,,Tucson,Tucson,25.0,Italy,Italy,right,80250.0,123970.22166097851,43720.22166097851,83000,,83000,,2021-03-01,2022-11-30,2021-12-02,,Luca Mastrantonio,Italy,25,FC Tucson,Defender - Centre-Back,https://www.transfermarkt.us/luca-mastrantonio/profil/spieler/399463
A. Curic,CB,,Toronto II,Toronto II,20.0,United States,United States,unknown,80250.0,108170.43143055131,27920.43143055131,,,,,,,,,,,,,,
M. Salas,CB,,North Texas,North Texas,22.0,United States,United States,,80250.0,102421.95739603143,22171.95739603143,,,,,,,,,,,,,,
J. Luna,CB,,Chattanooga Red Wolves,Chattanooga Red Wolves,27.0,Venezuela,Venezuela,left,53500.0,127018.22623468778,73518.22623468778,55000,,220000,,2021-01-29,2022-11-30,2021-12-17,no agent,Jorge Luna,Venezuela-Uruguay,27 (28),Chattanooga Red Wolves SC,Defender - Centre-Back,https://www.transfermarkt.us/jorge-luna/profil/spieler/346122
N. Aune,"CB,CM",,Richmond Kickers,Richmond Kickers,25.0,United States,United States,right,53500.0,99753.93439131208,46253.93439131208,,,,,,,,,,,,,,
F. Nodarse,CB,,Rio Grande Valley,Fort Lauderdale,21.0,Cuba,Cuba,,53500.0,106185.77261810025,52685.77261810025,,,,,,,,,,,,,,
J. Ponce,CB,,Union Omaha,Union Omaha,,United States,United States,unknown,0.0,908996.213152446,908996.213152446,,,,,,,,,,,,,,
M. Kwesele,"CB,CM",,Richmond Kickers,Richmond Kickers,26.0,United States,United States,unknown,0.0,76622.36424282304,76622.36424282304,,,,,,,,,,,,,,
N. O'Callaghan,"FB,CB",,Tormenta,Tormenta,24.0,United States,United States,,0.0,902970.867115793,902970.867115793,165000,,165000,,2021-12-01,,,,Nick O'Callaghan,United States,24 (25),South Georgia Tormenta FC,Defender - Centre-Back,https://www.transfermarkt.us/nick-ocallaghan/profil/spieler/752639
C. Dewhurst,CB,,Providence Friars,New England II,18.0,United States,United States,,0.0,377562.1689138865,377562.1689138865,,,,,,,,,,,,,,
