Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,139015.534480821,-21484.465519179008,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,139015.534480821,-21484.465519179008,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,139015.534480821,-21484.465519179008,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
J. Kamara,"CM,AM,CF",,Louisville City,North Carolina FC,19.0,Denmark,Denmark,,160500.0,156579.6295268733,-3920.370473126706,,,,,,,,,,,,,,
M. Bolduc,"CM,AM,W",,Richmond Kickers,Richmond Kickers,27.0,United States,United States,right,133750.0,135816.37808125155,2066.378081251547,138000,,165000,,2017-05-17,2022-11-30,2021-12-07,,Matt Bolduc,United States,27,Richmond Kickers,midfield - Right Midfield,https://www.transfermarkt.us/matt-bolduc/profil/spieler/430348
N. Pilato,"CM,AM",,Greenville Triumph,Greenville Triumph,25.0,United States,United States,right,133750.0,151874.84556566834,18124.845565668336,,,,,,,,,,,,,,
A. Morrell,"AM,W",,Greenville Triumph,Greenville Triumph,27.0,United States,United States,right,133750.0,173400.81072835182,39650.81072835182,,,,,,,,,,,,,,
D. Bedoya,AM,,Tucson,Tucson,27.0,Colombia,Colombia,right,133750.0,208984.56676282358,75234.56676282358,138000,,138000,,2021-03-02,2022-11-30,2022-02-22,DV7 Management,Daniel Bedoya,Colombia,27 (28),FC Tucson,midfield - Attacking Midfield,https://www.transfermarkt.us/daniel-bedoya/profil/spieler/369848
S. Miscic,"AM,W",,Philadelphia Union II,North Carolina FC,18.0,United States,United States,,133750.0,154865.26004247338,21115.260042473383,138000,,138000,,2022-03-28,2022-12-31,,PROSPORT Management,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
J. Donnelly,"AM,W,CF",,Greenville Triumph,Greenville Triumph,24.0,England,England,,133750.0,66674.12203216509,-67075.87796783491,138000,,138000,,2021-12-01,,,HNG Talent ltd,Joshua Donnelly,England,24 (25),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/joshua-donnelly/profil/spieler/635967
