Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",FB,CB,CM,AM,W,CF,GK,Rating
A. Fitzgerald,Richmond Kickers,Richmond Kickers,GK,34.0,133750.0,,28,2750,0,0.0,0,0.3,0.65,85.0,Japan,"Japan, United States",right,183,79,no,1.57,0.1,66.67,0.39,91.67,0.0,0.0,0.03,1.51,1.79,0.0,2,0.07,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,0.03,100.0,0.03,0.0,0.0,9.52,0.07,0.13,16.69,89.61,8.21,81.27,0.0,0.0,7.69,98.72,12.37,98.41,4.29,64.12,30.62,51.9,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.47,42.22,0.13,0.0,0.0,0.0,0.0,0.03,3.17,79.38,35,1.15,129,4.22,10,72.87,38.21,1.25,3.21,0.105,0.0,1.6,0.39,,,,0.0,0,0.0,,,,,,,GK,7.05
M. Bolduc,Richmond Kickers,Richmond Kickers,"CM,AM,W",27.0,133750.0,,29,2061,1,0.88,2,3.34,16.72,42.82,United States,United States,right,173,68,no,6.29,6.33,52.41,1.35,32.26,0.35,0.42,0.04,2.62,3.15,1.18,3,0.13,0,0.0,2.23,0.04,1,0.04,0.04,0,0.0,21,0.92,28.57,4.762,0.09,2.71,27.42,0.22,40.0,2.49,26.32,0.48,2.36,50.0,6.07,38.85,1.48,1.31,0.57,16.81,2.36,1.18,23.8,73.21,6.64,65.79,4.89,88.39,7.9,70.72,19.56,82.37,1.66,36.84,19.15,22.84,0.15,1.22,0.0,0.0,0.35,12.5,0.57,2.79,65.63,2.45,33.93,0.44,10.0,0.61,0.7,3.84,72.73,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.0,0.0,0.0,0.04,0,0.0,,,CM,AM,W,,,6.73
C. Enriquez,Forward Madison,Forward Madison,CM,23.0,133750.0,,15,1113,1,0.47,0,0.44,20.94,48.26,United States,United States,right,173,75,no,8.25,8.25,66.67,1.13,57.14,0.49,0.6,0.0,2.26,2.81,0.32,0,0.0,0,0.0,2.51,0.08,1,0.08,0.04,0,0.0,12,0.97,25.0,8.333,0.0,1.62,40.0,0.57,71.43,0.97,25.0,0.16,3.8,38.3,8.49,32.38,0.73,2.26,2.18,26.44,0.65,0.89,37.36,88.74,7.36,83.52,9.14,95.58,11.89,88.44,34.53,92.27,1.37,52.94,16.34,20.67,0.04,0.32,0.08,0.08,0.24,66.67,0.16,4.37,79.63,1.37,52.94,0.4,40.0,0.24,0.57,3.56,70.45,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.08,0.08,100.0,0.24,0,0.0,,,CM,,,,,6.61
C. Avilez,,Tormenta,GK,22.0,133750.0,,2,161,0,0.0,0,0.0,0.56,0.0,United States,"United States, Mexico",,183,72,no,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.86,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.56,0.0,0.0,0.0,0.0,15.65,0.0,0.0,25.71,84.78,12.86,69.57,0.0,0.0,12.3,100.0,19.01,97.06,6.71,50.0,29.87,54.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,37.5,0.0,0.0,0.0,0.0,0.0,0.0,3.35,83.33,4,2.24,6,3.35,0,33.33,2.3,1.28,-1.7,-0.95,0.0,0.0,0.0,,,,0.0,0,0.0,,,,,,,GK,5.75
G. McLaughlin,Toronto II,Toronto II,CF,24.0,133750.0,,26,1800,8,11.02,1,0.96,18.85,36.77,United States,United States,,0,0,no,3.2,2.94,55.36,3.31,49.21,0.05,0.07,0.16,1.52,2.03,1.05,3,0.15,0,0.0,1.84,0.4,6,0.32,0.58,0,0.0,41,2.15,48.78,19.512,0.05,0.53,20.0,0.11,0.0,0.42,25.0,0.0,1.68,28.13,8.93,27.06,3.47,1.05,0.53,9.98,1.73,1.31,15.28,81.1,2.63,64.0,5.67,89.81,3.41,83.08,14.44,83.64,0.37,57.14,14.2,9.97,0.05,0.63,0.0,0.05,0.42,50.0,0.26,1.1,61.9,0.74,42.86,0.37,57.14,0.47,0.11,1.21,56.52,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3,66.667,,,,,,CF,,6.86
K. Fox,Tucson,Tucson,CB,26.0,133750.0,,29,2575,0,0.15,0,0.64,12.86,61.13,United States,United States,,188,70,no,10.1,6.12,69.82,3.33,61.96,0.36,0.46,0.8,5.47,7.01,0.4,4,0.14,0,0.0,0.54,0.0,0,0.0,0.01,0,0.0,3,0.11,0.0,0.0,0.0,0.51,35.71,0.22,50.0,0.25,28.57,0.07,0.69,47.37,1.81,34.0,0.54,0.72,0.33,27.38,0.47,0.33,41.76,85.17,18.62,75.29,1.85,96.08,18.91,95.02,35.71,91.38,5.61,49.03,22.71,37.91,0.02,0.14,0.0,0.0,0.07,50.0,0.11,4.38,61.16,0.51,42.86,0.14,25.0,0.11,0.18,8.22,62.11,0,,0,,0,0.0,0.0,0.0,,,1.3,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,6.74
N. Pilato,Greenville Triumph,Greenville Triumph,"CM,AM",25.0,133750.0,,7,517,0,0.3,0,0.0,15.84,52.75,United States,United States,right,175,63,no,6.96,5.57,62.5,4.35,40.0,0.87,1.15,0.17,2.61,3.44,0.52,2,0.35,0,0.0,0.52,0.0,0,0.0,0.05,0,0.0,7,1.22,14.29,0.0,0.0,1.22,14.29,0.35,0.0,0.7,0.0,0.0,0.17,100.0,2.44,64.29,1.04,0.17,0.17,27.33,0.52,0.7,40.56,80.26,9.92,68.42,8.88,96.08,15.67,82.22,34.82,84.5,4.87,60.71,19.66,33.71,0.0,0.0,0.0,0.0,0.17,0.0,0.0,4.87,67.86,1.04,50.0,0.35,50.0,0.0,0.17,5.05,65.52,0,,0,,0,0.0,0.0,0.0,,,0.7,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,AM,,,,6.81
A. Morrell,Greenville Triumph,Greenville Triumph,"AM,W",27.0,133750.0,,22,1387,0,2.28,1,3.28,20.37,47.13,United States,United States,right,170,62,no,5.58,5.58,56.98,2.08,28.13,0.32,0.41,0.0,2.08,2.6,0.97,1,0.06,1,0.06,4.67,0.0,0,0.0,0.15,0,0.0,28,1.82,25.0,0.0,0.06,3.76,32.76,1.17,33.33,2.6,32.5,0.97,5.19,56.25,9.67,50.34,3.18,4.09,1.56,18.69,2.47,1.1,26.99,74.04,5.78,74.16,6.62,85.29,8.24,73.23,22.13,81.52,1.36,61.9,16.51,19.75,0.21,1.23,0.06,0.0,0.58,11.11,0.45,2.6,80.0,3.05,48.94,0.52,12.5,0.84,1.1,4.41,80.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.13,0.0,0.0,2.27,0,0.0,,,,AM,W,,,6.81
D. Bedoya,Tucson,Tucson,AM,27.0,133750.0,,29,1717,3,1.83,3,1.79,16.35,53.49,Colombia,Colombia,right,170,65,no,7.5,7.39,56.62,1.09,50.0,0.38,0.53,0.0,2.93,4.1,0.98,5,0.26,0,0.0,2.23,0.16,2,0.11,0.1,0,0.0,20,1.09,25.0,15.0,0.16,0.92,41.18,0.43,25.0,0.49,55.56,0.0,2.12,64.1,6.08,52.68,0.65,0.81,0.0,36.01,0.92,1.79,47.09,83.16,13.42,73.68,7.66,93.62,19.88,85.25,40.46,87.65,5.81,57.94,20.55,30.78,0.1,1.14,0.05,0.11,0.49,44.44,0.43,8.53,73.25,2.06,52.63,1.25,30.43,0.65,0.33,8.26,76.97,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.92,0.16,33.33,2.28,1,100.0,,,,AM,,,,6.91
V. Candela,Tormenta,Tormenta,CM,27.0,133750.0,,21,945,0,0.59,1,0.22,16.48,46.06,Colombia,"Colombia, Italy",right,172,68,no,7.09,7.69,54.55,1.4,28.57,0.5,0.63,0.2,2.4,3.04,2.6,8,0.76,0,0.0,0.9,0.0,0,0.0,0.06,0,0.0,13,1.3,30.77,0.0,0.1,0.4,25.0,0.1,0.0,0.3,33.33,0.0,0.6,33.33,4.4,40.91,0.2,0.6,0.2,24.77,0.3,1.9,36.16,88.4,9.09,73.63,7.59,97.37,14.98,92.0,32.56,92.02,3.2,59.38,17.77,25.06,0.02,0.5,0.2,0.0,0.4,50.0,0.2,5.09,82.35,1.0,40.0,0.4,75.0,0.2,0.1,5.09,66.67,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.0,0.0,0.0,0.2,0,0.0,,,CM,,,,,6.68
J. Crull,Union Omaha,Union Omaha,"FB,CB",24.0,133750.0,,23,1871,0,0.23,0,0.58,12.36,58.75,United States,United States,,0,0,no,9.0,5.72,68.91,3.03,52.38,0.19,0.22,0.34,4.86,5.64,0.43,2,0.1,0,0.0,0.82,0.0,0,0.0,0.01,0,0.0,3,0.14,33.33,0.0,0.0,1.01,38.1,0.96,35.0,0.05,100.0,0.1,0.82,47.06,2.02,35.71,0.14,1.06,0.38,23.47,0.34,0.43,35.45,82.36,15.15,69.52,2.65,94.55,14.19,93.9,29.63,89.45,4.81,48.0,20.2,35.57,0.03,0.24,0.0,0.05,0.1,0.0,0.1,5.58,64.66,1.01,47.62,0.24,20.0,0.1,0.38,7.31,71.05,0,,0,,0,0.0,0.0,0.0,,,1.35,,,0.0,0.0,0.0,0.24,0,0.0,FB,CB,,,,,,6.71
J. Scearce,Union Omaha,Union Omaha,CM,23.0,133750.0,,29,2501,1,3.44,3,1.75,23.32,55.71,United States,United States,,185,0,no,9.1,6.77,56.38,9.07,59.52,0.5,0.6,0.47,4.79,5.7,1.76,5,0.18,1,0.04,1.58,0.04,1,0.04,0.12,0,0.0,50,1.8,34.0,2.0,0.11,0.22,0.0,0.0,0.0,0.22,0.0,0.0,1.37,65.79,3.2,59.55,1.26,0.83,0.36,22.49,0.58,1.26,34.37,81.78,12.31,67.25,3.6,96.0,13.35,89.76,30.7,84.41,3.49,62.89,18.86,36.68,0.06,0.5,0.04,0.04,0.29,25.0,0.22,7.31,69.95,1.3,44.44,0.43,33.33,0.61,0.0,6.51,77.35,0,,0,,0,0.0,0.0,0.0,,,0.18,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,7.16
S. Miscic,Philadelphia Union II,North Carolina FC,"AM,W",18.0,133750.0,,25,1529,4,6.52,2,1.08,14.66,43.78,United States,United States,,170,61,no,4.94,3.77,64.06,1.24,33.33,0.29,0.4,0.18,2.24,3.03,0.59,0,0.0,0,0.0,2.41,0.24,3,0.18,0.38,0,0.0,38,2.24,39.47,10.526,0.12,1.41,12.5,1.41,12.5,0.0,0.0,0.24,3.88,33.33,7.18,33.61,2.35,2.12,1.41,18.78,1.29,1.06,23.6,79.3,6.12,66.35,5.71,91.75,6.71,80.7,20.95,83.99,1.29,72.73,16.4,23.33,0.06,0.94,0.0,0.0,0.35,16.67,0.35,2.47,64.29,1.47,32.0,0.29,20.0,0.41,0.24,3.47,61.02,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.41,0.24,0.0,1.47,1,100.0,,,,AM,W,,,6.76
T. Maples,Toronto II,Toronto II,CB,23.0,133750.0,,20,1654,1,0.57,1,0.01,13.35,53.45,United States,United States,,0,0,no,8.69,5.47,62.11,2.76,50.0,0.17,0.2,0.52,5.12,6.04,0.86,2,0.11,0,0.0,0.63,0.05,1,0.06,0.03,0,0.0,3,0.17,33.33,33.333,0.06,0.12,50.0,0.0,0.0,0.12,50.0,0.0,0.52,100.0,2.36,43.9,0.23,1.09,0.12,27.91,0.29,0.92,41.55,85.18,17.72,73.05,2.19,94.74,18.36,95.61,36.02,91.53,5.41,43.62,23.28,44.01,0.0,0.06,0.06,0.0,0.06,0.0,0.0,7.6,60.61,0.58,30.0,0.81,28.57,0.12,0.06,8.06,67.14,0,,0,,0,0.0,0.0,0.0,,,1.67,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,6.94
K. Thompson,Toronto II,Toronto II,"W,CF",18.0,133750.0,,28,1692,1,2.15,0,2.74,24.84,47.06,Canada,Canada,,0,0,no,7.68,6.71,58.06,3.95,42.47,0.32,0.4,0.27,3.46,4.29,0.81,1,0.05,0,0.0,5.2,0.05,1,0.05,0.12,0,0.0,25,1.35,36.0,4.0,0.0,2.71,26.0,0.49,11.11,2.22,29.27,0.22,6.66,56.1,12.07,44.39,2.6,2.0,0.92,13.85,1.89,1.03,22.19,70.24,6.12,61.06,5.47,89.11,6.28,68.97,18.83,78.74,0.7,15.38,17.88,13.38,0.15,0.65,0.0,0.0,0.81,33.33,0.49,1.68,38.71,2.54,38.3,0.65,16.67,1.08,0.65,3.41,63.49,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.05,0.0,0.0,0.0,0,0.0,,,,,W,CF,,6.67
M. Flick,North Carolina FC,North Carolina FC,"FB,CB",27.0,133750.0,,25,2394,2,2.11,0,0.35,13.98,55.91,United States,United States,,183,75,no,10.11,6.09,64.81,3.42,47.25,0.75,1.0,0.6,5.41,7.19,1.02,9,0.34,0,0.0,0.98,0.08,2,0.08,0.08,1,0.04,11,0.41,36.36,18.182,0.0,0.34,22.22,0.15,25.0,0.19,20.0,0.04,1.05,71.43,1.95,61.54,0.45,1.13,0.75,37.56,0.45,0.6,52.14,88.46,16.73,75.51,3.57,95.79,27.37,96.15,47.22,93.55,4.62,40.65,21.02,37.62,0.01,0.11,0.08,0.0,0.19,0.0,0.08,4.1,62.39,0.68,16.67,0.41,18.18,0.08,0.11,7.33,63.59,0,,0,,0,0.0,0.0,0.0,,,1.17,,,0.0,0.0,0.0,0.0,0,0.0,FB,CB,,,,,,6.83
C. Quinones,New England II,New England II,FB,18.0,133750.0,,20,1083,0,0.12,1,1.42,15.87,45.55,United States,United States,,0,0,no,7.23,6.57,43.04,1.58,31.58,0.66,0.91,0.17,3.74,5.09,1.16,2,0.17,0,0.0,3.82,0.0,0,0.0,0.01,0,0.0,6,0.5,33.33,0.0,0.08,4.24,47.06,0.0,0.0,4.24,47.06,0.33,2.16,69.23,4.74,52.63,0.42,1.5,0.5,30.66,1.83,1.16,41.63,81.04,12.63,70.39,7.65,96.74,13.96,85.12,34.82,87.35,2.91,51.43,21.1,28.76,0.12,0.91,0.08,0.08,0.33,50.0,0.42,5.9,71.83,3.82,56.52,0.58,28.57,0.5,1.91,8.81,82.08,0,,0,,0,0.0,0.0,0.0,,,0.5,,,0.0,0.0,0.0,0.08,0,0.0,FB,,,,,,,6.79
J. Donnelly,Greenville Triumph,Greenville Triumph,"AM,W,CF",24.0,133750.0,,17,741,2,1.19,1,0.17,24.05,39.9,England,England,,0,0,no,5.71,4.62,60.53,9.11,41.33,0.61,0.78,0.24,2.31,2.97,0.49,1,0.12,0,0.0,1.82,0.24,2,0.24,0.14,0,0.0,14,1.7,28.57,14.286,0.12,2.19,16.67,0.24,0.0,1.82,20.0,0.12,2.19,33.33,5.95,26.53,3.28,0.49,0.36,14.09,3.28,1.21,17.37,59.44,4.13,41.18,3.04,84.0,5.47,64.44,14.21,66.67,1.09,44.44,18.14,11.99,0.02,0.36,0.0,0.12,0.36,66.67,0.24,2.19,44.44,1.46,50.0,0.36,66.67,0.49,0.24,1.34,81.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,AM,W,CF,,6.75
J. Phelps,Tormenta,Tormenta,"CB,CF",28.0,133750.0,,19,1693,1,2.18,0,0.3,17.69,42.22,Australia,Australia,,0,0,no,7.35,4.21,54.67,5.33,45.26,0.17,0.22,0.34,4.88,6.29,1.52,5,0.27,0,0.0,0.45,0.05,1,0.06,0.12,0,0.0,9,0.51,22.22,11.111,0.0,0.11,50.0,0.06,0.0,0.06,100.0,0.0,0.51,44.44,3.76,26.87,1.12,0.06,0.06,23.08,0.9,0.9,33.74,87.69,10.84,72.54,2.92,94.23,16.34,95.53,31.1,90.43,2.53,55.56,18.57,29.45,0.02,0.22,0.0,0.0,0.11,50.0,0.06,2.81,72.0,0.67,25.0,0.22,25.0,0.28,0.06,4.6,62.2,0,,0,,0,0.0,0.0,0.0,,,1.18,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,CF,,6.84
E. Bryant,San Antonio,Richmond Kickers,"CM,W",20.0,133750.0,,10,855,0,0.49,0,0.32,18.53,40.34,United States,United States,right,175,60,no,4.95,6.0,45.61,1.68,37.5,0.11,0.12,0.11,2.11,2.43,1.26,0,0.0,0,0.0,2.42,0.0,0,0.0,0.05,0,0.0,13,1.37,38.46,0.0,0.0,1.47,14.29,0.0,0.0,1.47,14.29,0.32,3.16,50.0,8.21,37.18,1.05,1.16,1.05,17.16,1.16,0.84,28.11,75.28,9.47,65.56,4.84,91.3,10.21,77.32,24.0,82.46,2.74,46.15,20.24,31.77,0.03,0.53,0.0,0.0,0.21,50.0,0.11,4.63,63.64,2.42,34.78,0.53,40.0,0.84,0.11,5.58,73.58,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.53,0,0.0,,,CM,,W,,,6.62
J. Coan,North Carolina FC,North Carolina FC,"AM,W",23.0,133750.0,,28,1749,3,2.67,2,2.34,16.26,43.04,United States,United States,,175,66,no,4.63,4.43,58.14,1.44,32.14,0.15,0.21,0.0,1.9,2.59,0.72,6,0.31,0,0.0,4.43,0.15,3,0.15,0.14,0,0.0,27,1.39,40.74,11.111,0.1,3.19,40.32,0.72,21.43,2.47,45.83,0.31,5.2,46.53,8.7,39.05,1.44,1.85,1.08,19.55,1.34,0.98,27.58,73.69,7.77,67.55,5.66,92.73,10.03,68.72,21.51,83.25,3.29,40.63,19.37,34.61,0.12,1.13,0.05,0.1,0.51,30.0,0.41,4.17,56.79,3.29,40.63,0.98,26.32,0.57,1.03,5.35,76.92,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.93,0.05,0.0,0.72,0,0.0,,,,AM,W,,,6.74
D. Jaye,Greenville Triumph,Greenville Triumph,GK,28.0,133750.0,2021-11-30,18,1756,0,0.0,0,0.0,0.51,60.0,United States,"United States, Guam",right,183,79,no,1.38,0.05,100.0,0.1,100.0,0.0,0.0,0.0,1.33,1.59,0.0,0,0.0,1,0.05,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,11.74,0.05,0.1,18.86,86.68,9.94,79.9,0.0,0.0,8.05,94.9,11.99,96.58,6.77,70.45,30.36,48.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.74,61.76,0.05,0.0,0.0,0.0,0.05,0.0,5.69,72.97,24,1.23,69,3.54,6,65.22,24.58,1.26,0.58,0.03,0.0,1.03,0.1,,,,0.0,0,0.0,,,,,,,GK,6.72
F. Sousa,Union Omaha,Union Omaha,FB,30.0,133750.0,2021-11-30,29,2533,1,0.51,2,1.91,18.44,55.11,Congo DR,"Congo DR, United States",right,168,68,no,9.56,7.85,61.09,1.88,58.49,0.28,0.34,0.25,4.48,5.32,1.42,7,0.25,0,0.0,3.66,0.04,1,0.04,0.02,0,0.0,15,0.53,13.33,6.667,0.07,2.66,36.0,0.04,100.0,2.63,35.14,0.57,3.94,63.96,6.64,51.87,0.39,1.67,0.36,26.93,1.6,0.6,38.3,79.87,16.1,72.85,5.05,93.66,12.08,80.88,31.3,88.88,4.65,41.22,19.85,37.69,0.07,0.64,0.07,0.04,0.28,37.5,0.39,7.14,64.68,3.16,41.57,0.5,21.43,0.46,1.03,8.24,75.43,0,,0,,0,0.0,0.0,0.0,,,0.78,,,0.07,0.0,0.0,0.04,0,0.0,FB,,,,,,,6.88
O. Anderson,Richmond Kickers,Richmond Kickers,"W,CF",26.0,133750.0,,25,862,3,4.17,2,1.51,26.52,39.76,St. Vincent and the Grenadines,St. Vincent and the Grenadines,right,173,71,no,3.86,4.28,48.78,3.13,46.67,0.0,0.0,0.0,1.77,2.51,2.3,4,0.42,0,0.0,5.74,0.31,3,0.31,0.44,0,0.0,31,3.24,29.03,9.677,0.21,2.51,33.33,1.36,38.46,1.15,27.27,0.52,8.56,45.12,15.87,34.87,5.12,2.09,1.57,7.52,1.67,2.4,11.48,58.18,2.92,50.0,1.98,89.47,3.97,55.26,8.67,66.27,0.63,33.33,19.59,10.53,0.16,0.73,0.0,0.0,0.21,50.0,0.52,0.73,71.43,1.25,50.0,0.21,50.0,0.63,0.84,1.57,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,,W,CF,,6.69
M. Kone,Tucson,Tucson,CM,27.0,133750.0,,15,1258,0,0.5,1,0.36,15.17,48.79,Côte d'Ivoire,"Côte d'Ivoire, Burkina Faso",right,189,80,no,5.64,4.76,47.69,4.03,58.18,0.29,0.37,0.15,3.08,3.84,1.91,5,0.36,0,0.0,0.66,0.0,0,0.0,0.04,0,0.0,5,0.37,40.0,0.0,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.81,63.64,3.22,43.18,0.37,0.59,0.15,17.37,0.0,0.59,28.22,85.45,8.06,72.73,4.03,89.09,12.53,91.23,24.85,88.5,3.3,64.44,20.62,32.9,0.03,0.29,0.0,0.0,0.15,0.0,0.22,3.88,64.15,0.29,0.0,0.37,20.0,0.07,0.0,3.88,75.47,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,6.73
C. Smith,North Texas,North Texas,"FB,W",17.0,133750.0,2023-12-31,29,1875,0,0.96,0,0.63,20.65,57.94,United States,United States,,180,72,no,8.54,8.4,65.52,2.03,50.0,0.29,0.38,0.14,2.75,3.63,1.5,7,0.34,0,0.0,3.67,0.0,0,0.0,0.05,0,0.0,16,0.77,18.75,0.0,0.0,2.46,23.53,0.0,0.0,2.46,23.53,0.24,4.63,59.38,7.43,54.55,1.21,2.51,1.35,22.83,1.5,1.25,30.4,78.25,10.95,72.69,4.1,97.65,10.04,81.73,25.91,86.96,2.17,35.56,18.77,25.05,0.03,0.39,0.05,0.0,0.43,44.44,0.24,3.91,67.9,2.12,45.45,0.63,38.46,0.53,0.58,6.56,72.79,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.0,0.0,0.0,0.0,0,0.0,FB,,,,W,,,6.75
S. Biek,Horn,Tucson,CB,24.0,133750.0,2023-06-30,7,418,0,0.31,0,0.52,14.43,64.18,Germany,Germany,both,191,85,no,9.04,6.67,67.74,4.31,70.0,0.43,0.57,1.08,4.09,5.38,0.86,1,0.22,0,0.0,0.22,0.0,0,0.0,0.07,0,0.0,2,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.65,66.67,0.65,0.22,0.0,44.35,0.43,0.65,59.43,91.3,21.75,80.2,1.51,100.0,31.65,97.28,52.54,96.72,6.89,50.0,15.47,32.06,0.11,0.22,0.0,0.0,0.0,0.0,0.0,5.6,57.69,0.65,33.33,0.43,0.0,0.43,0.0,8.18,81.58,0,,0,,0,0.0,0.0,0.0,,,1.29,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,6.73
A. Carlini,Toronto II,Toronto II,"W,CF",21.0,133750.0,2022-11-30,28,2051,3,1.55,1,1.32,14.52,51.4,Canada,Canada,,0,0,no,5.88,5.83,66.67,1.4,25.81,0.27,0.35,0.05,1.72,2.21,0.9,5,0.22,0,0.0,1.9,0.13,3,0.14,0.07,0,0.0,26,1.18,38.46,11.538,0.05,0.5,36.36,0.23,20.0,0.27,50.0,0.0,1.72,55.26,5.2,40.87,1.63,2.31,0.81,25.06,0.77,1.22,32.56,88.61,8.14,82.22,8.77,94.33,9.86,88.99,30.93,91.08,1.22,48.15,16.13,19.94,0.06,0.59,0.14,0.05,0.54,58.33,0.32,4.16,75.0,1.22,59.26,0.72,50.0,0.95,0.23,4.84,82.24,0,,0,,0,0.0,0.0,0.0,,,0.14,,,0.05,0.0,0.0,0.0,0,0.0,,,,,W,CF,,6.79
E. Alihodzic,,Union Omaha,"CM,W",29.0,133750.0,,29,1374,3,1.32,3,0.92,18.28,43.01,United States,"United States, Bosnia and Herzegovina",right,183,77,no,8.06,7.07,49.07,1.9,31.03,0.33,0.38,0.13,4.26,4.99,1.11,4,0.26,0,0.0,1.9,0.2,3,0.2,0.09,2,0.13,18,1.18,16.67,16.667,0.2,2.1,28.13,0.59,33.33,1.51,26.09,0.46,2.16,45.45,5.9,42.22,1.38,1.31,0.39,26.66,0.72,1.77,39.83,80.59,10.15,67.74,7.21,94.55,16.9,84.11,32.88,86.85,4.98,59.21,20.81,36.2,0.06,0.72,0.0,0.0,0.46,28.57,0.59,6.48,64.65,2.62,35.0,1.05,37.5,0.39,0.79,7.07,78.7,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.07,0.0,0.0,0.52,0,0.0,,,CM,,W,,,6.83
