"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Ethan Hardin","FTL","2021","CB","1874","1250","88.8%","88.8%","-0.50","-0.04","25.20","5.87","12.4%","19"
"","Cesar Cuellar","FTL","2021","W","80","20","65.0%","67.5%","-0.51","-2.53","21.68","4.74","1.9%","3"
"","Allen Gavilanes","GVL","2021","W","1385","391","63.2%","63.3%","-0.53","-0.13","21.87","1.13","4.8%","24"
"","Cameron Vickers","RIC","2021","W","176","28","46.4%","48.5%","-0.58","-2.07","20.98","2.36","1.0%","8"
"","Mohamed Kone","TUC","2021","DM","1101","362","80.9%","81.2%","-0.80","-0.22","22.71","6.07","6.6%","12"
"","Gerard Lavergne","TUC","2021","DM","18","13","76.9%","83.3%","-0.83","-6.37","26.70","6.61","1.9%","1"
"","Malyk Hamilton","NC","2021","FB","416","216","83.8%","84.2%","-0.86","-0.40","17.21","1.15","4.4%","10"
"","Juan Parra","NTX","2021","CB","411","223","82.5%","82.9%","-0.88","-0.39","25.68","10.42","8.1%","5"
"","Yoskar Galvan","OMA","2021","W","46","14","64.3%","72.8%","-1.19","-8.50","15.78","1.73","1.8%","2"
"","Noah Pilato","GVL","2021","CM","324","168","80.4%","81.1%","-1.21","-0.72","23.00","3.30","7.1%","5"
"","Ty Johnson","RIC","2021","ST","18","3","33.3%","73.8%","-1.21","-40.47","6.97","3.10","1.6%","1"
"","Gibran Rayo","NTX","2021","W","2098","645","81.1%","81.3%","-1.31","-0.20","17.33","-0.66","6.5%","25"
"","Joseph Rice","NER","2021","GK","1946","544","77.6%","77.8%","-1.46","-0.27","32.20","24.29","5.1%","20"
"","Joseph Buck","NER","2021","CM","101","42","78.6%","82.1%","-1.50","-3.56","20.26","5.05","3.9%","2"
"","Ronaldo Pineda","CHA","2021","FB","1272","598","74.9%","75.2%","-1.64","-0.27","21.79","5.08","5.4%","24"
"","Jaime Ponce","OMA","2021","CB","68","10","60.0%","76.9%","-1.69","-16.86","22.27","1.06","3.5%","1"
"","Shak Adams","TUC","2021","W","1833","450","78.0%","78.4%","-1.75","-0.39","15.95","-1.71","4.6%","25"
"","Devin Benton","NTX","2021","CB","257","141","81.6%","82.8%","-1.75","-1.24","23.28","4.66","3.6%","8"
"","Bernard Kamungo","NTX","2021","W","1113","224","73.7%","74.5%","-1.97","-0.88","18.23","0.05","3.6%","21"
"","Niki Jackson","TRM","2021","ST","287","47","76.6%","80.8%","-1.97","-4.20","15.22","-2.36","2.0%","8"
"","Damian Gallegos","RIC","2021","ST","17","5","40.0%","80.8%","-2.04","-40.78","25.30","8.34","1.1%","1"
"","David Texeira","CHA","2021","ST","179","34","67.7%","73.7%","-2.06","-6.06","13.67","-3.50","2.9%","3"
"","Andreas Vaikla","TOR","2021","GK","1291","380","71.6%","72.2%","-2.19","-0.58","35.67","27.09","6.1%","13"
"","Robert Kristo","NC","2021","ST","1010","254","70.9%","71.7%","-2.20","-0.87","16.98","2.17","4.0%","18"
"","Julian Dunn-Johnson","TOR","2021","CB","399","245","83.3%","84.2%","-2.21","-0.90","24.34","9.09","11.6%","4"
"","Tim Trilk","CHA","2021","GK","1908","660","84.5%","84.9%","-2.23","-0.34","28.65","17.78","6.7%","19"
"","Steffen Yeates","TOR","2021","CM","1365","701","85.5%","85.8%","-2.30","-0.33","20.45","2.98","7.0%","20"
"","Denso Ulysse","RIC","2021","FB","52","16","43.8%","58.6%","-2.37","-14.80","13.95","5.37","3.0%","2"
"","Cyrus Rad","MAD","2021","CB","1169","727","73.9%","74.2%","-2.40","-0.33","22.91","11.42","11.4%","12"
"","Michel","NER","2021","CM","1714","1051","81.2%","81.4%","-2.61","-0.25","21.14","4.37","9.7%","21"
"","Ralph Priso-Mbongue","TOR","2021","CM","296","196","84.7%","86.0%","-2.62","-1.34","19.86","6.03","11.7%","3"
"","Franco Pérez","TUC","2021","ST","276","52","71.2%","76.3%","-2.66","-5.11","15.24","-0.94","1.9%","9"
"","Felipe Valencia","FTL","2021","CM","67","15","53.3%","71.3%","-2.70","-17.97","14.84","2.82","0.7%","6"
"","Craig McCall","TRM","2021","CM","120","56","67.9%","72.8%","-2.74","-4.90","24.20","9.23","1.6%","9"
"","Dante Campbell","TOR","2021","CM","1108","450","80.7%","81.3%","-2.78","-0.62","20.97","5.17","5.0%","20"
"","Michael Vang","MAD","2021","CM","385","143","81.1%","83.1%","-2.81","-1.97","17.82","2.45","2.6%","11"
"","Blake Frischknecht","CHA","2021","ST","1064","198","66.2%","67.6%","-2.84","-1.43","15.70","-0.33","3.2%","19"
"","Cesar Murillo","GVL","2021","CB","1167","570","76.1%","76.7%","-3.06","-0.54","22.33","9.44","7.4%","18"
"","Collin McCamy","NC","2021","FB","72","23","65.2%","78.6%","-3.09","-13.41","18.16","5.06","1.5%","4"
"","Damian Las","NC","2021","GK","200","79","81.0%","85.0%","-3.16","-4.00","29.77","18.30","7.8%","2"
"","Hernán González","RIC","2021","ST","431","124","66.9%","69.6%","-3.26","-2.63","14.46","-1.78","1.9%","19"
"","Maciel","NER","2021","DM","340","206","84.0%","85.7%","-3.45","-1.68","22.23","5.98","9.0%","4"
"","Esmir Bajraktarevic","NER","2021","W","509","125","72.0%","74.9%","-3.58","-2.86","17.19","1.95","3.1%","11"
"","Luis Zamudio","FTL","2021","GK","881","347","80.1%","81.2%","-3.66","-1.06","31.51","21.45","7.5%","9"
"","Adrian Billhardt","TRM","2021","W","225","73","64.4%","69.4%","-3.69","-5.05","21.01","0.93","5.2%","4"
"","Tyler Freitas","NER","2021","FB","477","241","83.8%","85.4%","-3.86","-1.60","20.03","1.33","5.0%","9"
"","Ricardo Rivera","OMA","2021","ST","247","55","61.8%","69.0%","-3.96","-7.20","16.29","1.96","2.1%","7"
"","Clayton Adams","TRM","2021","W","209","55","70.9%","78.1%","-3.97","-7.21","18.09","-2.57","1.5%","10"
"","Nico Brown","GVL","2021","W","165","41","65.8%","76.2%","-4.25","-10.36","13.68","-3.09","1.9%","7"
"","Brittain Gottlieb","TRM","2021","CB","60","28","53.6%","68.8%","-4.26","-15.20","16.26","2.13","1.2%","5"
"","Freddy Vargas","NTX","2021","ST","328","123","73.2%","76.7%","-4.35","-3.54","19.25","-0.73","8.0%","4"
"","Manuel Ferriol","TUC","2021","CM","921","365","80.5%","81.8%","-4.40","-1.21","24.04","5.56","4.3%","19"
"","Austin Panchot","OMA","2021","ST","381","102","66.7%","71.0%","-4.46","-4.37","16.71","-0.64","1.9%","15"
"","Joshua Saavedra","FTL","2021","DM","416","122","77.0%","80.7%","-4.47","-3.66","19.52","3.11","3.1%","9"
"","Drew Hardin","FTL","2021","CM","639","154","80.5%","83.5%","-4.53","-2.94","20.72","2.36","2.5%","15"
"","Rey Ortiz","CHA","2021","W","847","274","60.6%","62.3%","-4.69","-1.71","21.92","4.12","4.4%","16"
"","Emir Alihodzic","OMA","2021","CM","1365","610","77.0%","77.8%","-4.70","-0.77","23.62","4.63","5.2%","27"
"","Caleb Patterson-Sewell","TOR","2021","GK","1085","298","74.8%","76.4%","-4.72","-1.58","34.34","25.69","5.1%","11"
"","Richard Sánchez","NTX","2021","GK","1692","589","80.0%","80.8%","-4.72","-0.80","31.34","21.17","6.6%","17"
"","Victor Falck","RIC","2021","CM","1689","662","76.9%","77.6%","-4.79","-0.72","22.96","6.96","7.4%","22"
"","Colin Shutler","NTX","2021","GK","980","340","85.9%","87.3%","-4.80","-1.41","28.48","17.52","6.4%","10"
"","Devin Boyce","OMA","2021","W","2192","993","72.2%","72.7%","-4.82","-0.49","18.75","2.25","8.8%","27"
"","Jordan Perruzza","TOR","2021","ST","113","23","56.5%","77.8%","-4.89","-21.28","18.58","0.03","2.7%","2"
"","Alisson","NTX","2021","CB","729","419","80.9%","82.1%","-4.93","-1.18","24.74","11.20","7.1%","11"
"","Mehdi Essoussi","TOR","2021","CM","1248","676","84.8%","85.5%","-4.95","-0.73","20.84","3.88","9.1%","15"
"","Damia Viader I Masdeu","OMA","2021","FB","2637","1574","70.8%","71.1%","-5.01","-0.32","21.68","5.67","12.8%","28"
"","Daniel Bedoya","TUC","2021","CM","1538","873","80.1%","80.7%","-5.18","-0.59","23.16","4.94","7.0%","26"
"","Mitchell Curry","FTL","2021","ST","2021","284","71.8%","73.7%","-5.22","-1.84","16.54","-1.27","3.6%","23"
"","Alex Bruce","NTX","2021","ST","594","112","68.8%","73.4%","-5.25","-4.69","18.92","0.18","1.5%","18"
"","Enric Bernat","TOR","2021","CM","574","308","85.4%","87.2%","-5.45","-1.77","22.15","2.72","6.8%","9"
"","John Murphy","OMA","2021","CM","149","52","67.3%","77.8%","-5.47","-10.52","20.67","2.54","2.2%","7"
"","Kalil ElMedkhar","NTX","2021","W","1104","346","71.1%","72.7%","-5.48","-1.58","16.79","-1.50","6.8%","13"
"","Oalex Anderson","RIC","2021","W","866","119","55.5%","60.2%","-5.66","-4.76","17.45","2.10","2.5%","24"
"","Gabriel de Morais","NTX","2021","ST","421","82","59.8%","66.8%","-5.82","-7.09","15.88","2.73","2.4%","10"
"","Thibaut Jacquel","NTX","2021","ST","816","240","74.2%","76.6%","-5.84","-2.43","16.08","-0.74","3.6%","15"
"","Noah Fuson","MAD","2021","W","911","243","73.3%","75.7%","-6.03","-2.48","17.31","0.07","2.8%","21"
"","Kazu","NTX","2021","W","1638","618","74.1%","75.1%","-6.09","-0.99","17.96","1.06","5.4%","25"
"","Lucão","NTX","2021","CB","578","289","78.5%","80.7%","-6.13","-2.12","28.86","12.40","8.7%","7"
"","Stanley Alves","RIC","2021","ST","561","148","66.2%","70.4%","-6.21","-4.19","16.47","0.87","3.9%","12"
"","Ryan Sierakowski","MAD, NER","2021","ST","2031","483","71.4%","72.7%","-6.22","-1.29","15.71","-0.35","4.3%","27"
"","Venton Evans","FTL","2021","W","1569","410","77.6%","79.1%","-6.29","-1.53","17.70","-1.75","5.4%","21"
"","Thorn Simpson","NC","2021","ST","958","166","70.5%","74.4%","-6.58","-3.96","14.91","-4.13","2.9%","20"
"","Rodney Michael","TRM","2021","W","990","268","72.8%","75.2%","-6.60","-2.46","16.16","1.80","4.7%","16"
"","Selmir Miscic","NC","2021","W","1548","433","73.2%","74.7%","-6.64","-1.53","18.59","-0.09","4.2%","25"
"","Cole McLagan","GVL","2021","FB","309","113","59.3%","65.3%","-6.78","-6.00","20.58","9.45","3.3%","9"
"","John Scearce","OMA","2021","CM","2350","1009","74.9%","75.6%","-6.82","-0.68","20.21","7.19","8.9%","27"
"","Jackson Dietrich","CHA","2021","W","768","181","68.5%","72.6%","-7.35","-4.06","17.20","-2.21","2.7%","20"
"","Britton Fischer","NC","2021","CB","1258","723","86.5%","87.5%","-7.48","-1.03","23.28","7.53","8.9%","16"
"","Juan Galindrez","CHA","2021","ST","1240","193","70.5%","74.7%","-8.10","-4.20","15.16","-2.88","2.9%","27"
"","Juan Pablo Monticelli","RIC","2021","FB","1493","543","71.3%","72.8%","-8.20","-1.51","23.29","6.19","8.2%","18"
"","Luke Pavone","RIC","2021","FB","855","277","67.2%","70.2%","-8.31","-3.00","21.60","8.03","3.8%","20"
"","Garrett McLaughlin","TOR","2021","ST","1738","322","74.8%","77.5%","-8.43","-2.62","14.43","-2.81","3.6%","25"
"","Nathan Aune","RIC","2021","CB","551","188","66.0%","70.6%","-8.66","-4.61","23.05","8.10","3.9%","14"
"","Joshua Penn","FTL","2021","W","890","182","69.8%","74.7%","-8.94","-4.91","17.57","1.74","4.9%","10"
"","Esteban Calvo","RIC","2021","FB","2106","871","76.6%","77.6%","-9.33","-1.07","21.14","4.35","9.3%","23"
"","Drake Callender","FTL","2021","GK","1678","718","81.2%","82.5%","-9.45","-1.32","31.64","21.26","8.0%","17"
"","Azaad Liadi","TRM","2021","ST","2087","333","70.0%","72.8%","-9.48","-2.85","16.08","-1.17","4.5%","27"
"","Abuchi Obinwa","TRM","2021","CM","1654","706","85.0%","86.3%","-9.53","-1.35","20.65","1.59","6.9%","23"
"","Paul Rothrock","TOR","2021","ST","708","181","68.5%","73.8%","-9.62","-5.31","18.42","0.81","4.3%","12"
"","Evan Conway","OMA","2021","ST","1196","259","61.8%","65.5%","-9.69","-3.74","15.47","0.35","5.1%","16"
"","Ethan Bryant","RIC","2021","CM","952","289","70.2%","73.7%","-9.89","-3.42","21.85","4.07","6.9%","12"
"","Kosi Thompson","TOR","2021","W","1684","456","68.0%","70.2%","-9.96","-2.18","16.60","0.52","4.7%","27"
"","Jake Keegan","MAD","2021","ST","2125","433","71.1%","73.5%","-10.06","-2.32","16.72","-0.09","4.4%","23"
"","Daniel Steedman","NC","2021","CM","506","228","77.2%","81.7%","-10.23","-4.49","20.32","3.77","6.8%","8"
"","Edward Kizza","NER","2021","ST","1075","225","76.9%","81.5%","-10.25","-4.56","15.78","-4.88","4.6%","12"
"","Raheem Sommersall","TRM","2021","CM","1254","563","84.7%","86.6%","-10.45","-1.86","19.16","1.71","6.1%","20"
"","Connor Presley","NER","2021","FB","1400","562","70.5%","72.3%","-10.51","-1.87","17.71","2.32","7.1%","17"
"","Harvey Neville","FTL","2021","CM","1994","912","79.5%","80.7%","-10.54","-1.16","22.70","4.25","8.7%","21"
"","Lachlan McLean","GVL","2021","ST","924","178","54.5%","60.6%","-10.83","-6.09","17.81","3.12","4.0%","14"
"","Robert Frame","NC","2021","W","1635","356","76.1%","79.3%","-11.14","-3.13","14.70","-1.96","3.4%","26"
