"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Luis Caicedo","NER","2021","DM","178","0.01","-0.00","-0.19","0.32","-0.06","0.04","0.13"
"","Jacob Goodall","GVL","2021","FB","610","-0.28","-0.07","0.66","0.22","-0.31","-0.09","0.13"
"","Lars Eckenrode","TRM","2021","CB","1345","-0.16","0.33","-0.14","-0.23","0.24","0.08","0.12"
"","Maximiliano Schenfeld","TUC","2021","FB","2178","-0.13","0.22","0.27","0.12","-0.35","-0.02","0.12"
"","Sami Guediri","FTL","2021","CM","76","0.05","0.00","-0.00","-0.04","0.08","0.02","0.11"
"","Jonathan Bell","NER","2021","CB","206","0.06","-0.00","-0.08","0.19","-0.05","-0.02","0.09"
"","Christian Young","FTL","2021","FB","1318","-0.16","0.01","0.16","0.54","-0.27","-0.19","0.09"
"","Colby Quinones","NER","2021","FB","1098","-0.09","0.02","0.43","-0.00","-0.15","-0.12","0.09"
"","Nicolas Ovalle","TOR","2021","CM","42","-0.00","0.00","0.07","0.04","-0.00","-0.01","0.09"
"","Marvin Mariche","NC","2021","W","21","0.09","-0.00","0.03","-0.01","-0.02","0.00","0.09"
"","Noble Okello","TOR","2021","CM","269","-0.14","-0.01","0.01","0.23","0.06","-0.06","0.09"
"","Elma N'For","OMA","2021","ST","485","-0.24","-0.00","-0.12","0.00","0.48","-0.04","0.08"
"","Lucão","NTX","2021","CB","578","0.03","0.18","-0.16","-0.01","0.00","0.05","0.08"
"","Joao Delgado","TUC","2021","CM","1383","-0.30","-0.06","0.35","0.38","-0.11","-0.19","0.07"
"","Michel","NER","2021","CM","1714","0.05","0.14","-0.01","0.39","-0.33","-0.17","0.07"
"","Drew Hardin","FTL","2021","CM","639","0.21","-0.02","-0.07","-0.43","0.32","0.05","0.07"
"","Ivan Magalhaes","RIC","2021","CB","2577","-0.12","0.19","0.21","-0.17","-0.17","0.12","0.06"
"","Chris Cole","RIC","2021","FB","1414","-0.18","0.00","0.05","0.20","0.01","-0.04","0.05"
"","Tobias Otieno","OMA","2021","CM","1634","0.22","-0.19","0.37","0.16","-0.38","-0.13","0.05"
"","Jared Odenbeck","TUC","2021","DM","342","-0.01","0.01","0.06","0.01","0.01","-0.03","0.04"
"","Edwin Cerrillo","NTX","2021","DM","98","-0.00","0.02","0.06","-0.03","0.01","-0.02","0.04"
"","Jacob Shaffelburg","TOR","2021","W","88","0.04","0.01","-0.02","-0.06","0.10","-0.02","0.04"
"","Francisco Raggio","FTL","2021","CM","50","0.05","-0.01","-0.02","0.02","-0.03","0.03","0.04"
"","Cesar Cuellar","FTL","2021","W","80","-0.12","-0.01","0.01","0.19","-0.00","-0.04","0.03"
"","Benjamin Redzic","NTX","2021","W","162","0.20","0.01","-0.03","-0.02","-0.08","-0.04","0.03"
"","Nico Brown","GVL","2021","W","165","-0.04","-0.00","0.00","-0.04","0.04","0.07","0.03"
"","Gabriel de Morais","NTX","2021","ST","421","-0.31","0.16","-0.08","0.04","0.28","-0.06","0.03"
"","Brittain Gottlieb","TRM","2021","CB","60","0.01","0.00","0.00","-0.05","0.06","-0.00","0.03"
"","Drew Kerr","NC","2021","CM","10","0.00","-0.00","0.02","0.01","-0.00","-0.00","0.03"
"","Cristian Zaragoza","CHA","2021","W","16","-0.02","-0.00","-0.01","-0.01","0.02","0.03","0.02"
"","Edison Azcona","FTL","2021","W","882","0.13","-0.06","-0.19","0.18","-0.08","0.02","0.02"
"","Ian Antley","RIC","2021","FB","28","-0.02","0.00","0.01","0.04","-0.01","-0.00","0.02"
"","Christian Mafla","NER","2021","FB","247","0.09","0.04","-0.09","-0.09","0.02","0.05","0.01"
"","Emir Alihodzic","OMA","2021","CM","1365","-0.19","-0.03","0.44","0.30","-0.34","-0.17","0.01"
"","Aaron Messer","NC","2021","CB","1","-0.00","0.00","0.01","-0.00","-0.00","-0.00","0.01"
"","Antony Curic","TOR","2021","CB","964","0.18","0.04","-0.33","0.29","-0.13","-0.05","0.01"
"","Luke Lawrence","TUC","2021","ST","4","0.00","-0.00","0.01","0.00","-0.01","-0.00","0.01"
"","Jason Bucknor","FTL","2021","FB","103","0.03","-0.00","-0.04","-0.03","0.02","0.03","0.00"
"","Abdi Mohamed","GVL","2021","FB","2129","-0.18","-0.17","0.19","0.56","-0.25","-0.14","0.00"
"","Jalen Crisler","RIC","2021","CB","2564","-0.20","-0.02","0.48","-0.56","0.20","0.10","0.00"
"","Caden Tolentino","NC","2021","FB","1","-0.00","0.00","-0.00","-0.00","-0.00","-0.00","-0.00"
"","Patrick Cayelli","GVL","2021","FB","5","-0.00","0.00","0.00","-0.00","-0.00","-0.00","-0.00"
