Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Carlos Gómez,MAD,2021,FB,683,13,2,0,1.17,-0.5,-1.17,5,0,0.64,-0.64,1.82,0.0,1.04,265,83.8%,81.5%,6.03,2.28,18.52,-1.22,3.1%,17,0.09,-0.02,0.07,-0.18,0.37,0.2,0.53
Cesar Cuellar,FTL,2021,W,80,0,0,0,0.0,0.0,0.0,2,0,0.49,-0.49,0.49,0.0,0.0,20,65.0%,67.5%,-0.51,-2.53,21.68,4.74,1.9%,3,-0.12,-0.01,0.01,0.19,-0.0,-0.04,0.03
Cesar Murillo,GVL,2021,CB,1167,11,1,0,0.37,0.25,-0.37,1,0,0.06,-0.06,0.43,0.0,0.19,570,76.1%,76.7%,-3.06,-0.54,22.33,9.44,7.4%,18,0.07,0.02,-0.35,0.22,-0.44,0.0,-0.49
Charlie Dennis,TUC,2021,CM,1885,44,17,9,5.66,1.26,3.34,42,8,3.65,4.35,9.31,5.48,3.41,882,74.5%,74.4%,0.64,0.07,24.5,5.55,8.3%,24,0.01,0.03,-0.08,0.24,0.3,0.29,0.78
Chris Brady,MAD,2021,GK,103,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,27,96.3%,94.1%,0.6,2.24,23.67,12.32,4.2%,1,,,,,,,
Chris Cole,RIC,2021,FB,1414,10,2,1,0.49,0.21,0.51,9,2,1.52,0.48,2.01,0.71,0.36,571,65.1%,68.7%,-19.98,-3.5,22.6,8.72,8.2%,18,-0.18,0.0,0.05,0.2,0.01,-0.04,0.05
Christian Díaz,MAD,2021,FB,1386,6,1,0,0.18,0.28,-0.18,17,1,1.78,-0.78,1.96,0.0,0.13,939,79.1%,76.8%,21.66,2.31,21.01,8.09,9.1%,19,-0.23,0.12,0.72,1.07,-0.21,-0.11,1.36
Christian Enriquez,MAD,2021,CM,1129,12,3,1,0.45,0.26,0.55,7,0,0.4,-0.4,0.85,0.66,0.33,463,87.0%,86.1%,4.53,0.98,17.72,0.57,6.7%,15,-0.15,-0.02,0.1,-0.61,-0.09,-0.06,-0.84
Christian Mafla,NER,2021,FB,247,5,2,0,0.21,0.3,-0.21,1,0,0.24,-0.24,0.46,0.0,0.14,142,78.9%,76.2%,3.84,2.71,18.04,4.2,8.9%,3,0.09,0.04,-0.09,-0.09,0.02,0.05,0.01
Christian Molina,OMA,2021,W,232,1,0,0,0.18,-0.18,-0.18,2,0,0.07,-0.07,0.25,0.0,0.16,75,76.0%,76.3%,-0.25,-0.34,15.21,-0.36,1.8%,9,-0.06,0.03,-0.09,-0.03,-0.04,-0.06,-0.24
Christian Young,FTL,2021,FB,1318,1,1,1,0.08,0.47,0.92,13,2,2.16,-0.16,2.25,0.21,0.02,643,74.3%,74.0%,2.05,0.32,21.65,5.0,8.8%,16,-0.16,0.01,0.16,0.54,-0.27,-0.19,0.09
Clayton Adams,TRM,2021,W,209,2,2,0,0.13,0.15,-0.13,2,0,0.05,-0.05,0.18,0.0,0.08,55,70.9%,78.1%,-3.97,-7.21,18.09,-2.57,1.5%,10,-0.03,0.0,-0.03,0.0,-0.12,-0.04,-0.22
Colby Quinones,NER,2021,FB,1098,6,2,0,0.15,0.16,-0.15,10,1,1.13,-0.13,1.28,0.0,0.09,607,78.3%,77.1%,6.81,1.12,18.69,2.6,5.7%,20,-0.09,0.02,0.43,-0.0,-0.15,-0.12,0.09
Cole Dewhurst,NER,2021,ST,12,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0%,99.1%,0.01,0.88,22.26,-5.98,0.4%,1,0.0,-0.0,-0.0,0.0,-0.02,-0.01,-0.03
Cole McLagan,GVL,2021,FB,309,3,0,0,0.22,-0.22,-0.22,1,0,0.03,-0.03,0.25,0.0,0.17,113,59.3%,65.3%,-6.78,-6.0,20.58,9.45,3.3%,9,0.05,-0.02,-0.1,-0.02,-0.17,-0.01,-0.26
Colin Shutler,NTX,2021,GK,980,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,340,85.9%,87.3%,-4.8,-1.41,28.48,17.52,6.4%,10,,,,,,,
Collin McCamy,NC,2021,FB,72,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,23,65.2%,78.6%,-3.09,-13.41,18.16,5.06,1.5%,4,-0.0,0.02,-0.04,-0.03,-0.03,-0.02,-0.1
Collin Smith,NTX,2021,FB,1763,15,3,0,0.91,-0.85,-0.91,10,0,0.99,-0.99,1.9,0.0,0.57,744,77.1%,75.9%,9.02,1.21,19.95,5.17,6.0%,27,0.4,0.02,-0.72,0.1,-0.49,-0.16,-0.84
Collin Verfurth,NER,2021,CB,1761,7,1,0,0.72,-0.5,-0.72,3,0,0.24,-0.24,0.96,0.0,0.56,1118,89.3%,86.8%,27.4,2.45,24.23,9.54,10.3%,19,0.07,0.11,0.25,0.46,0.2,-0.06,1.03
Connor Presley,NER,2021,FB,1400,22,5,1,1.89,-0.33,-0.89,13,2,2.26,-0.26,4.14,0.84,1.34,562,70.5%,72.3%,-10.51,-1.87,17.71,2.32,7.1%,17,-0.44,0.02,-0.22,-0.42,0.12,0.27,-0.67
Connor Tobin,MAD,2021,CB,2757,12,3,2,2.15,-0.52,-0.15,3,0,0.11,-0.11,2.26,1.53,1.1,1561,84.8%,82.5%,35.69,2.29,24.79,10.81,10.2%,28,0.38,-0.18,0.53,0.46,0.52,-0.06,1.65
Conor Doyle,OMA,2021,W,2554,22,3,0,1.45,-0.95,-1.45,23,6,2.05,3.95,3.51,0.0,1.05,957,71.1%,72.5%,-13.96,-1.46,20.43,5.98,7.5%,28,-0.55,-0.17,0.04,1.12,-1.03,-0.65,-1.24
Craig McCall,TRM,2021,CM,120,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,56,67.9%,72.8%,-2.74,-4.9,24.2,9.23,1.6%,9,-0.05,-0.01,0.02,0.07,-0.04,-0.04,-0.04
