"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Caleb Patterson-Sewell","TOR","2021","GK","1085","1","0","0","0.10","-0.10","-0.10","0","0","0.00","0.00","0.10","0.00","0.10"
"","Alex Knox","TUC","2021","FB","733","3","2","0","0.10","0.31","-0.10","0","0","0.00","0.00","0.10","0.00","0.07"
"","Jared Odenbeck","TUC","2021","DM","342","1","1","0","0.07","0.37","-0.07","1","0","0.02","-0.02","0.09","0.00","0.05"
"","Akira Fitzgerald","RIC","2021","GK","2685","0","0","0","0.00","0.00","0.00","1","0","0.09","-0.09","0.09","0.00","0.00"
"","Esteban Calvo","RIC","2021","FB","2106","2","0","0","0.02","-0.02","-0.02","2","0","0.05","-0.05","0.07","0.00","0.03"
"","Julian Dunn-Johnson","TOR","2021","CB","399","1","1","0","0.07","0.12","-0.07","0","0","0.00","0.00","0.07","0.00","0.04"
"","Abdul Illal Osumanu","OMA","2021","CB","1268","1","0","0","0.07","-0.07","-0.07","0","0","0.00","0.00","0.07","0.00","0.09"
"","Richard Sánchez","NTX","2021","GK","1692","1","0","0","0.03","-0.03","-0.03","1","0","0.03","-0.03","0.06","0.00","0.05"
"","Rohit Thakur","NC","2021","W","18","1","0","0","0.06","-0.06","-0.06","0","0","0.00","0.00","0.06","0.00","0.00"
"","Blake Malone","OMA","2021","CB","769","1","0","0","0.05","-0.05","-0.05","0","0","0.00","0.00","0.05","0.00","0.05"
"","Shermaine Martina","NC","2021","CB","717","1","1","0","0.05","0.12","-0.05","0","0","0.00","0.00","0.05","0.00","0.05"
"","Drake Callender","FTL","2021","GK","1678","0","0","0","0.00","0.00","0.00","1","0","0.05","-0.05","0.05","0.00","0.00"
"","Jacob Shaffelburg","TOR","2021","W","88","1","0","0","0.05","-0.05","-0.05","0","0","0.00","0.00","0.05","0.00","0.02"
"","Ian Antley","RIC","2021","FB","28","0","0","0","0.00","0.00","0.00","1","0","0.04","-0.04","0.04","0.00","0.00"
"","Devin Benton","NTX","2021","CB","257","0","0","0","0.00","0.00","0.00","1","0","0.04","-0.04","0.04","0.00","0.00"
"","Felipe Valencia","FTL","2021","CM","67","1","0","0","0.03","-0.03","-0.03","0","0","0.00","0.00","0.03","0.00","0.03"
"","Alex Monis","MAD","2021","W","26","1","1","0","0.03","-0.01","-0.03","0","0","0.00","0.00","0.03","0.00","0.01"
"","Joseph Buck","NER","2021","CM","101","1","0","0","0.02","-0.02","-0.02","0","0","0.00","0.00","0.02","0.00","0.02"
"","Jordan Pena","TUC","2021","DM","1081","1","0","0","0.02","-0.02","-0.02","0","0","0.00","0.00","0.02","0.00","0.02"
"","Dennis Ramirez","NER","2021","CM","114","1","1","0","0.02","0.02","-0.02","0","0","0.00","0.00","0.02","0.00","0.00"
"","Damian Gallegos","RIC","2021","ST","17","0","0","0","0.00","0.00","0.00","1","0","0.01","-0.01","0.01","0.00","0.00"
"","Nicholas Holliday","NC","2021","GK","498","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Caden Tolentino","NC","2021","FB","1","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Luis Zamudio","FTL","2021","GK","881","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Curtis De Leon","NC","2021","CB","7","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Earl Edwards Jr.","NER","2021","GK","387","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Nakye Greenidge-Duncan","TOR","2021","ST","8","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Dylan Castanheira","FTL","2021","GK","205","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Wallis Lapsley","TUC","2021","GK","2672","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Pablo Jara","TRM","2021","GK","2572","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Jake McGuire","NC","2021","GK","2078","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Andreas Vaikla","TOR","2021","GK","1291","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Devante Dubose","RIC","2021","FB","55","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Rickson van Hees","NTX","2021","ST","10","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Aaron Messer","NC","2021","CB","1","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Patrick Cayelli","GVL","2021","FB","5","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Carlos Avilez","TRM","2021","GK","168","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","William Mejia","GVL","2021","W","44","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Morris Matthews","NER","2021","CM","18","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Tim Trilk","CHA","2021","GK","1908","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Gerard Lavergne","TUC","2021","DM","18","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Luke Lawrence","TUC","2021","ST","4","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Dallas Jaye","GVL","2021","GK","1778","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Yoskar Galvan","OMA","2021","W","46","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Grant Hampton","TRM","2021","DM","11","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Cole Dewhurst","NER","2021","ST","12","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Chris Brady","MAD","2021","GK","103","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Paul Christensen","GVL","2021","GK","986","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Kevin Piedrahita","OMA","2021","GK","391","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Damian Las","NC","2021","GK","200","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Colin Shutler","NTX","2021","GK","980","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Jonathan Bell","NER","2021","CB","206","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Alec Marshall","CHA","2021","ST","7","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Brandon Sanchez","TUC","2021","CM","79","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Javier Casas","MAD","2021","CM","64","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Drew Kerr","NC","2021","CM","10","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Denso Ulysse","RIC","2021","FB","52","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Joseph Rice","NER","2021","GK","1946","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Collin McCamy","NC","2021","FB","72","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Mumbi Kwesele","RIC","2021","CB","49","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Ty Johnson","RIC","2021","ST","18","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Yannik Oettl","NER","2021","GK","195","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Austin Aviza","RIC","2021","GK","100","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Kevin Silva","TOR","2021","GK","390","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Craig McCall","TRM","2021","CM","120","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Jaime Ponce","OMA","2021","CB","68","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Sebastian Mora-Mora","CHA","2021","GK","900","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Brad Knighton","NER","2021","GK","199","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Phil Breno","MAD","2021","GK","2659","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
